strain_name,breeder,description,current_price_gbp,original_price_gbp,discount_percent,pack_options,product_url,overview,growth_and_harvest,experience,seed_type,flowering_period_type,indica_sativa,type_ratio,strain_type_summary,environment,strength,medical_strains,smell_taste,effect,climate,flavor,thc,cbd,yield_indoor,yield_outdoor,height_indoor,height_outdoor,indoor_height_detail,indoor_flowering_time,outdoor_harvest_time,flowering_time,harvest_month,genetic_background,stock_availability,sale_item,most_popular_seeds
Peanut Butter OGKB Fast,Original Sensible Seeds,"Fast flowering strain with earthy nutty flavors, high THC content, and generous yields. Easy to grow indoors with a quick harvest time of 55 days.",17.6,28.08,40.0,3 Feminised Seeds (GBP 17.60) | 5 Feminised Seeds (GBP 26.60) | 10 Feminised Seeds (GBP 50.20) | 50 Feminised Seeds (GBP 238.45) | 100 Feminised Seeds (GBP 451.80),https://www.seed-city.com/components/com_virtuemart/themes/yagendoo_VaMazing/images/pic-coming.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,Relaxing,"Dairy, Earthy, Nutty",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Short (up to 55 days),Middle of September,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Grand Gelato,Purple Caper Seeds,"Rainbow sherbet strain, potent Indica effect. Ideal for indoor growing, thrives outdoors in arid climates. High yields in 8-10 weeks.",23.64,28.08,40.0,1 Single Feminised Seed (GBP 23.64) | 5 Feminised Seeds (GBP 98.50) | 25 Feminised Seeds (GBP 467.88) | 50 Feminised Seeds (GBP 886.50),https://www.seed-city.com/components/com_virtuemart/themes/yagendoo_VaMazing/images/pic-coming.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,Sweet,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
CBDrelax,Paradise Seeds,"High CBD strain with balanced effects, ideal for relaxation. Popular for medicinal and recreational use, with sweet and sour terpene profile.",25.0,28.08,40.0,5 Feminised Seeds (GBP 25.00) | 10 Feminised Seeds (GBP 45.00) | 50 Feminised Seeds (GBP 213.75) | 100 Feminised Seeds (GBP 405.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/CBDrelax_62c4628ef1fe5_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Mild,"Body Stone, Relaxing","Sour, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Planet Lemon,TH Seeds,"Creamy lemon terp profile, dense buds, short flowering time, energizing effects.",60.0,28.08,40.0,5 Feminised Seeds (GBP 60.00) | 25 Feminised Seeds (GBP 285.00) | 50 Feminised Seeds (GBP 540.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Planet_Lemon_62c8612a07bdd_120x140.jpg,"Planet Lemon by T.H.Seeds offers an intergalactic journey with an uplifting and energetic high. This strain features a creamy lemon candy terp profile rich in limonene. Its lineage from Birthday Cake S1 gives it dense buds and a sweet, sour aroma. Advised for topping for bushy growth, it boasts an open structure, minimal leaf production, and benefits from easy trimming due to an excellent flower to leaf ratio. Ready for harvest quicker than similar strains, Planet Lemon's buds are dense, green with purple hints and a heavy coating of trichomes. Its terp profile yields a creamy, sweet citrus flavor reminiscent of lemon meringue pie. Perfect for an energizing smoke at 4:20.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,"Motivational, Uplifting","Dairy, Lemon, Sour, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Yum Bongo,Ultra Genetics,"High-yielding indica strain with exotic fruit flavors. Easy to grow, provides smooth and relaxing effects, perfect for summer smoking.",55.0,28.08,40.0,6 Feminised Seeds (GBP 55.00) | 30 Feminised Seeds (GBP 261.25) | 60 Feminised Seeds (GBP 495.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Yum_Bongo_62cc5cee4efe6_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,"Fruity, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Buddhalato,Big Buddha Seeds,"Harmonious blend of Gelato and Buddha Tahoe, sweet, fruity, earthy profile with balanced high.",30.4,38.0,20.0,5 Feminised Seeds (GBP 30.40),https://www.seed-city.com/components/com_virtuemart/themes/yagendoo_VaMazing/images/pic-coming.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,Sweet,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Valencia Seeds - Peanut Butter Cookies,Seed City Bulk Cannabis Seeds,"Unique strain with exceptional flavor and relaxing effects, popular for stress relief and unwinding.",2.99,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/components/com_virtuemart/shop_image/product/scbulksmall.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,Sweet,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Kosher Creamz,DankHunters Seed Co,"New hybrid by Dank Hunters Seeds.CO, Kosherberriez and Creme A L Oranges for orange cream aroma. 70% Indica, 30% Sativa, 8-9 weeks flowering time.",70.0,28.08,40.0,10 Regular Seeds (GBP 70.00) | 50 Regular Seeds (GBP 332.50) | 100 Regular Seeds (GBP 630.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Kosher_Creamz_633465a086fec_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,"Dairy, Orange, Skunky",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Humboldt Sour Diesel,Humboldt Seed Company,"Sativa dominant strain with dense green buds and gassy flavor. Euphoric high and creative inspiration. Easy to grow, doubles in size during flower.",26.6,28.08,40.0,3 Feminised Seeds (GBP 26.60) | 5 Feminised Seeds (GBP 40.20) | 10 Feminised Seeds (GBP 72.40) | 50 Feminised Seeds (GBP 343.90) | 100 Feminised Seeds (GBP 651.60),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Humboldt_Sour_Di_633d9a4839c28_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Sativa Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,"Creative, Euphoric","Cinnamon, Orange, Skunky",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),"Beginning of October, Middle of October","65 days, October 5-20",October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Pink Mintz,Conscious Genetics,"Hybrid strain with sweet cookie dough and musky scents. Classic structure with dense, green buds covered in trichomes. Finishes flowering in 9 weeks.",10.29,28.08,40.0,1 Single Feminised Seed (GBP 10.29) | 7 Feminised Seeds (GBP 60.00) | 35 Feminised Seeds (GBP 285.00) | 70 Feminised Seeds (GBP 540.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Pink_Mintz_6346cf8dda131_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,"Cake, Musky, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Auto StarBurzt,Frosteez Farmz,"Compact Indica with fruity aroma, red and pink buds. Uplifting effects, physical relaxation. Flowering in 55-60 days, THC 23%.",29.8,28.08,40.0,4 Feminised Seeds (GBP 29.80) | 6 Feminised Seeds (GBP 42.60) | 12 Feminised Seeds (GBP 78.60) | 60 Feminised Seeds (GBP 373.35) | 120 Feminised Seeds (GBP 707.40),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Auto_StarBurzt_637bb48c34afd_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,"Cerebral, Happy, Uplifting","Cherry, Strawberry, Sweet",Relaxing,Mediterranean,Citrus,23%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Cosmos F1 CBD Auto,Royal Queen Seeds,"High-CBD sativa-dominant hybrid with stable genetics. Largest auto in catalog, tall with balanced effect. Rich aroma, ready in 80 days.",59.8,28.08,40.0,3 Feminised Seeds (GBP 59.80) | 5 Feminised Seeds (GBP 91.00) | 10 Feminised Seeds (GBP 165.20) | 50 Feminised Seeds (GBP 784.70) | 100 Feminised Seeds (GBP 486.80),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Cosmos_F1_CBD_Au_63ff8f34bc6c7_120x140.jpg,"Cosmos F1 is a high-CBD, Sativa-dominant autoflowering cannabis seed with F1 hybrid vigor, yielding uniform and resilient crops. Its genetics hail from a high-CBD strain in Oregon, making it the top choice in our catalogue for CBD content. Cosmos F1 grows tall with a Christmas tree structure and showcases bright green foliage.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Sativa Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Mild,"Body Stone, Contemplation, Focused, Relaxing","Peppery, Piney, Sweet","Clear, Focus, Meditative",Short Summers,"Cookie, Pepper, Pine",0.5%,Very high,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,45 - 55 days,October,CBD Oregon,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Caramba,Paradise Seeds,"Potent, fast-flowering strain with skunky aroma and Limonene terpene profile. Easy to grow indoors or outdoors, well-balanced flavor profile.",35.0,28.08,40.0,5 Feminised Seeds (GBP 35.00) | 25 Feminised Seeds (GBP 166.25) | 50 Feminised Seeds (GBP 315.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Caramba_64061a12a8750_120x140.jpg,"Caramba Female Cannabis Seeds by Paradise Seeds is a descendant of the Wappa family, specifically a cross of Wappa and Gelato 33. This strain retains Wappa's skunky essence with a Limonene-heavy terpene profile, refined by drying to exude skunk and citrus aromas. Its flavor intricately balances strawberry, orange, and diesel, enriched with Gelato's resinous sweetness.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,"This indica-dominant hybrid energizes and sparks creativity, making it ideal for social and daytime use. Its rich taste and manageable growth, coupled with uplifting effects, attribute to its Gelato and Wappa genetics.",Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,"Creative, Uplifting","Citrus, Fuel, Lemon, Orange, Skunky, Strawberry",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,7-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Biscotti Auto,Original Sensible Seeds,Potent indica with 25% THC. Honey cookie flavor. Yields over 150g per plant.,14.8,28.08,40.0,3 Feminised Seeds (GBP 14.80) | 5 Feminised Seeds (GBP 22.80) | 10 Feminised Seeds (GBP 42.00) | 50 Feminised Seeds (GBP 199.50) | 100 Feminised Seeds (GBP 378.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Biscotti_Auto_6447ed0e34159_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,Relaxing,"Honey, Sweet",Relaxing,Mediterranean,Citrus,25.00%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Radical Juice Auto,Ripper Seeds,"Indica dominant strain with high yield and fruity flavors. Flowers in 70-75 days. Great for flowers or extractions, with captivating aromas.",18.2,28.08,40.0,3 Feminised Seeds (GBP 18.20) | 5 Feminised Seeds (GBP 30.20) | 25 Feminised Seeds (GBP 143.45) | 50 Feminised Seeds (GBP 271.80),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Radical_Juice_Au_6447f9c4a7028_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,Relaxing,Fruity,Strong,Mediterranean,Fruity,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
